line_id,order_id,sale_date,customer_id,city,sales_channel,customer_segment,payment_method,product_id,product_name,category,brand,promo_campaign,discount_pct,quantity,unit_price_rub,unit_cost_rub,returned
L000001,ORD001544,2025-08-20,C01091,Санкт-Петербург,Сайт,Новый,СБП,P044,Аудио Marshall Model 44,Аудио,Marshall,Back-to-school,0.1494,2,40727.77,34013.16,0
L000002,ORD000204,2025-07-04,C01701,Екатеринбург,Магазин,Регулярный,Карта,P005,Смартфоны realme Model 05,Смартфоны,realme,Без акции,0.0359,2,47737.1,30814.55,1
L000003,ORD001458,2025-06-19,C00619,Москва,Магазин,Новый,Наличные,P052,Аксессуары Baseus Model 52,Аксессуары,Baseus,Без акции,0.0475,1,4619.43,3334.68,0
L000004,ORD000154,2025-07-04,C00948,Самара,Магазин,Регулярный,Карта,P012,Ноутбуки Lenovo Model 12,Ноутбуки,Lenovo,Без акции,0.0278,2,175503.36,138234.66,0
L000005,ORD002194,2025-04-04,C00264,Казань,Магазин,Регулярный,Карта,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Без акции,0.0194,1,31879.41,20907.66,0
L000006,ORD001777,2025-05-10,C00748,Екатеринбург,Сайт,Новый,Карта,P008,Смартфоны Xiaomi Model 08,Смартфоны,Xiaomi,Без акции,0.0701,1,90606.83,58146.74,0
L000007,ORD002165,2025-03-07,C00494,Екатеринбург,Маркетплейс,Регулярный,Карта,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Weekend,0.0944,1,152471.06,100536.18,0
L000008,ORD002862,2025-09-21,C00940,Санкт-Петербург,Магазин,Регулярный,СБП,P017,Ноутбуки Lenovo Model 17,Ноутбуки,Lenovo,Back-to-school,0.1152,1,70953.67,50505.87,0
L000009,ORD002005,2025-07-27,C01897,Москва,Маркетплейс,Новый,Карта,P006,Смартфоны Apple Model 06,Смартфоны,Apple,Без акции,0.0169,1,38220.7,30521.41,0
L000010,ORD005834,2025-11-14,C02153,Москва,Магазин,Регулярный,Карта,P035,Бытовая техника Philips Model 35,Бытовая техника,Philips,Без акции,0.0423,1,8255.06,4945.37,0
L000011,ORD005140,2025-08-04,C01889,Екатеринбург,Сайт,Новый,Рассрочка,P033,Бытовая техника Samsung Model 33,Бытовая техника,Samsung,Без акции,0.0169,2,21834.08,16994.97,0
L000012,ORD001674,2025-05-16,C01312,Санкт-Петербург,Магазин,VIP,Карта,P060,Игровая техника Sony Model 60,Игровая техника,Sony,Weekend,0.1075,1,7029.13,4194.86,0
L000013,ORD002941,2025-09-04,C00742,Казань,Магазин,Регулярный,Карта,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Без акции,0.0215,1,141726.65,106871.43,0
L000014,ORD005605,2025-10-29,C02007,Санкт-Петербург,Сайт,Регулярный,СБП,P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,Без акции,0.0297,1,92794.61,68575.43,0
L000015,ORD001223,2025-08-04,C02242,Новосибирск,Сайт,VIP,Карта,P009,Смартфоны Honor Model 09,Смартфоны,Honor,Без акции,0.04,1,120914.88,79262.18,0
